,X2,X3,X4
1,-0.336,-0.408,-0.308
2,-0.159,-0.277,-0.229
3,-0.107,-0.349,-0.133
4,-0.177,-0.361,-0.141
5,-0.071,-0.425,-0.2
6,-0.19,-0.354,-0.247
7,-0.378,-0.336,-0.296
8,-0.405,-0.516,-0.528
9,-0.4,-0.528,-0.478
10,-0.215,-0.355,-0.358
11,-0.363,-0.33,-0.296
12,-0.295,-0.516,-0.446
13,-0.668,-0.38,-0.386
14,-0.195,-0.361,-0.395
15,-0.521,-0.472,-0.503
16,-0.258,-0.312,-0.197
17,-0.21,-0.298,-0.258
18,-0.338,-0.299,-0.15
19,-0.128,-0.35,-0.159
20,-0.127,-0.397,-0.158
21,-0.203,-0.349,-0.235
22,-0.397,-0.266,-0.17
23,-0.185,-0.271,-0.323
24,-0.295,-0.312,-0.302
25,-0.272,-0.466,-0.482
26,-0.508,-0.285,-0.237
27,-0.345,-0.421,-0.331
28,0,-0.154,0.092
29,0.192,-0.117,0.215
30,-0.222,-0.237,-0.215
31,-0.242,-0.214,-0.215
32,-0.238,-0.16,-0.052
33,-0.244,-0.184,-0.24
34,-0.359,-0.228,-0.312
35,-0.474,-0.344,-0.379
36,-0.367,-0.408,-0.288
37,-0.338,-0.398,-0.337
38,-0.356,-0.481,-0.444
39,-0.266,-0.35,-0.079
40,-0.138,-0.207,-0.053
41,-0.363,-0.476,-0.513
42,-0.289,-0.378,-0.235
43,-0.466,-0.45,-0.458
44,-0.543,-0.405,-0.498
45,-0.375,-0.442,-0.485
46,-0.368,-0.414,-0.264
47,-0.152,-0.221,-0.016
48,-0.144,-0.273,0.006
49,-0.288,-0.538,-0.345
50,-0.22,-0.36,-0.207
51,-0.096,-0.314,0.023
52,-0.124,-0.394,-0.127
53,-0.367,-0.439,-0.177
54,-0.4,-0.561,-0.359
55,-0.485,-0.556,-0.494
56,-0.336,-0.421,-0.262
57,-0.199,-0.367,-0.241
58,-0.477,-0.457,-0.366
59,-0.458,-0.566,-0.479
60,-0.448,-0.597,-0.453
61,-0.417,-0.567,-0.501
62,-0.421,-0.668,-0.479
63,-0.466,-0.412,-0.237
64,-0.447,-0.4,-0.361
65,-0.237,-0.253,-0.198
66,-0.125,-0.16,-0.027
67,-0.385,-0.379,-0.386
68,-0.493,-0.443,-0.539
69,-0.353,-0.314,-0.334
70,-0.36,-0.193,-0.204
71,-0.278,-0.219,-0.272
72,-0.101,-0.277,-0.243
73,-0.245,-0.359,-0.296
74,-0.231,-0.325,-0.251
75,-0.222,-0.368,-0.224
76,-0.117,-0.319,-0.212
77,-0.008,-0.209,0.044
78,-0.113,-0.309,-0.113
79,-0.142,-0.273,-0.129
80,-0.318,-0.384,-0.244
81,-0.011,-0.263,-0.076
82,0.035,-0.209,0.068
83,-0.068,-0.205,-0.11
84,-0.239,-0.307,-0.204
85,-0.034,-0.228,-0.189
86,-0.097,-0.259,-0.133
87,-0.049,-0.246,-0.095
88,0.073,-0.127,0.02
89,0.107,-0.12,-0.099
90,0.041,-0.145,-0.107
91,0.008,0.018,0.13
92,0.039,0.002,0.241
93,0.022,-0.076,0.004
94,0.1,-0.111,-0.119
95,0.186,0.102,0.075
96,0.024,0.027,0.05
97,0.027,-0.168,-0.005
98,0.019,-0.095,0.014
99,0.08,-0.159,-0.056
100,-0.027,-0.127,-0.113
101,-0.17,-0.183,-0.223
102,0.051,-0.156,-0.049
103,0.039,0.019,0.071
104,0.199,-0.003,0.072
105,-0.058,-0.2,-0.159
106,-0.088,-0.29,-0.284
107,-0.262,-0.269,-0.317
108,0.009,-0.023,0.014
109,0.116,-0.024,0.145
110,0.073,-0.038,0.043
111,0.015,-0.113,-0.021
112,0.065,0.015,-0.032
113,0.089,-0.058,-0.077
114,0.148,-0.051,0.076
115,-0.169,-0.275,-0.145
116,-0.134,-0.147,-0.073
117,0.003,-0.14,0.043
118,0.026,-0.174,-0.147
119,-0.063,-0.162,-0.115
120,-0.054,0.118,0.246
121,-0.056,0.001,0.008
122,-0.193,-0.18,-0.29
123,-0.222,0.09,0.043
124,0.024,0.099,0.064
125,-0.261,-0.166,-0.296
126,-0.123,-0.175,-0.332
127,-0.293,-0.19,-0.25
128,0.034,0.059,0.021
129,-0.056,-0.068,-0.062
130,0.006,0.107,0.084
131,0.068,0.116,0.136
132,0.236,0.043,0.018
133,-0.029,0.052,0.065
134,0.168,0.22,0.222
135,-0.085,0.056,0.003
136,-0.131,0.071,-0.063
137,0.026,0.064,0.048
138,0.153,0.231,0.358
139,0.233,0.164,0.205
140,0.164,0.072,-0.014
141,0.412,0.181,0.206
142,0.316,0.193,0.206
143,0.074,0.136,0.109
144,0.13,0.167,0.162
145,0.28,0.138,0.159
146,0.47,0.179,0.285
147,0.175,0.187,0.193
148,0.456,0.323,0.368
149,0.614,0.465,0.564
150,0.408,0.204,0.158
151,0.404,0.184,0.17
152,0.558,0.323,0.35
153,0.593,0.398,0.469
154,0.642,0.369,0.507
155,0.604,0.289,0.43
156,0.724,0.367,0.487
157,0.676,0.336,0.449
158,0.713,0.27,0.365
159,0.569,0.22,0.274
160,0.594,0.413,0.541
161,0.74,0.379,0.535
162,0.575,0.275,0.243
163,0.627,0.312,0.346
164,0.674,0.352,0.404
165,0.779,0.381,0.516
166,1.033,0.497,0.737
167,1.064,0.531,0.763
168,0.922,0.434,0.563
169,0.789,0.405,0.473
170,0.972,0.502,0.656
171,1.118,0.421,0.631
172,0.914,0.381,0.466